0°11′57″South 0°15′55″South 
0°41′46″North 0°49′10″South 
10°21′37″South 11°09′07″South 
12°19′18″North 12°32′12″North 
13°03′04″North 14°41′59″South 
15°26′30″South 15°32′36″North 
15°41′51″South 15°45′17″North 
16°06′35″South 16°10′43″North 
18°50′14″North 19°08′55″North 
20°37′45″North 20°41′21″South 
21°08′16″North 21°32′18″North 
21°52′25″North 22°06′29″South 
22°58′13″North 24°35′02″South 
25°41′43″North 25°57′48″North 
26°07′36″North 26°32′08″North 
27°03′25″North 27°06′28″South 
27°25′39″North 27°49′49″South 
28°08′05″North 28°09′46″South 
28°47′58″North 28°49′21″South 
29°14′02″North 29°18′18″South 
29°33′26″South 29°38′15″South 
32°29′01″South 32°36′17″North 
32°55′05″North 33°01′21″North 
33°34′28″South 33°45′09″South 
34°41′26″South 36°26′17″North 
37°16′46″South 38°27′03″North 
39°03′27″South 39°54′20″North 
3°37′53″North 3°39′21″North 
40°40′59″North 40°47′40″South 
40°49′51″South 41°40′40″North 
44°37′27″North 44°47′21″South 
46°01′37″South 47°10′23″South 
47°52′19″South 48°32′08″North 
48°44′11″South 49°26′37″North 
4°28′48″South 50°08′21″North 
50°16′02″North 50°56′59″South 
51°14′35″North 52°01′08″South 
52°51′40″North 58°55′13″South 
59°23′47″South 59°31′58″North 
60°01′19″South 60°04′33″North 
61°47′28″South 61°54′33″South 
62°49′42″North 63°51′49″North 
64°24′32″South 66°43′52″North 
69°08′53″South 6°04′24″South 
6°32′30″North 6°37′11″South 
6°52′05″South 6°52′44″North 
70°48′53″South 71°37′46″North 
72°44′52″North 76°18′41″North 
7°01′08″South 7°56′54″North 
81°26′02″South 85°55′41″North 
100°20′59″West 100°38′12″West 
102°08′09″East 104°21′39″West 
105°02′52″West 107°13′23″West 
109°27′22″West 110°53′07″West 
111°45′39″East 113°12′43″West 
113°16′21″East 114°09′30″East 
114°26′13″East 115°07′53″West 
115°27′54″West 116°39′25″East 
118°11′51″West 121°37′32″East 
123°17′01″East 123°26′52″West 
124°42′23″West 131°10′03″West 
133°37′12″East 134°32′40″East 
13°20′54″West 143°41′15″East 
143°57′30″West 145°18′25″West 
146°43′21″West 147°14′09″East 
147°43′15″West 14°11′45″West 
150°10′06″West 152°48′10″East 
154°19′26″West 156°18′25″East 
157°39′28″West 159°11′47″West 
160°25′55″East 161°04′01″East 
165°06′19″East 165°20′44″East 
166°45′11″East 168°02′59″West 
169°30′24″West 16°09′21″East 
16°21′18″West 170°13′46″East 
171°10′18″East 172°03′54″West 
174°02′19″West 175°00′10″East 
175°18′57″East 176°02′43″East 
17°28′01″West 17°36′52″West 
17°39′50″East 19°13′54″East 
19°29′55″West 19°58′09″East 
1°10′07″West 1°26′54″West 
20°28′37″West 23°45′13″East 
28°29′04″East 29°54′22″West 
34°03′16″East 36°25′01″West 
38°24′55″East 39°02′23″West 
40°35′08″East 43°01′02″West 
45°58′04″West 49°04′38″East 
49°14′56″East 52°48′35″East 
53°35′27″West 53°55′20″West 
58°35′31″East 5°27′58″East 
62°42′48″East 66°37′42″West 
66°48′59″East 67°34′34″East 
67°36′17″East 69°54′50″East 
69°59′32″West 6°45′22″West 
73°11′52″West 77°18′10″West 
77°34′38″West 78°59′02″East 
81°10′01″East 84°00′57″West 
86°19′47″West 89°04′21″East 
97°29′55″West 97°36′39″West 
99°42′29″East 99°44′58″West 
